longitude,latitude,housing_median_age,test_empty,total_rooms,test_string,total_bedrooms,population,test_single,households,test_int,median_income,median_house_value
-118.83434591570239,33.8382352321556,31.0,,1177.0,goX,260.0,1035.0,99.0,297.0,643.0,4.020607778006403,197056.0
-120.07620187970193,35.55298384553501,18.0,,4821.0,QyY,776.0,1902.0,99.0,703.0,376.0,4.093794673904444,228793.0
-118.96676411826103,34.597411570891765,35.0,,2072.0,HEJ,439.0,1372.0,99.0,392.0,484.0,2.0881414469236357,133428.0
-118.55989029374311,34.94193004034308,26.0,,2788.0,JeO,508.0,1551.0,99.0,531.0,298.0,3.8922711698695758,167486.0
-119.50061509585883,34.995274459662525,18.0,,3831.0,mIv,827.0,2034.0,99.0,784.0,386.0,4.4273704736683746,234965.0
-121.81549998509907,37.05662061278059,36.0,,749.0,SQg,126.0,471.0,99.0,138.0,336.0,4.010594950157568,193114.0
-120.36007875704878,35.898137001051765,44.0,,2465.0,fLb,450.0,1036.0,99.0,538.0,451.0,5.049241508747404,306789.0
-118.22489691257084,34.770759592378916,26.0,,1626.0,jmP,301.0,1263.0,99.0,260.0,383.0,3.9705360937919356,123365.0
-119.15909715627156,34.09764688254652,35.0,,1773.0,POP,553.0,1633.0,99.0,525.0,576.0,2.717352572673132,218326.0
-121.06182473617874,37.58032700136945,30.0,,7331.0,pil,1616.0,4485.0,99.0,1638.0,666.0,3.0059384180921396,251950.0
-120.49787725066003,36.136845050052976,28.0,,7345.0,Xbm,1388.0,2244.0,99.0,1308.0,775.0,5.665357238448669,260723.0
-122.98333449707124,37.38168394289765,47.0,,2436.0,MLt,376.0,987.0,99.0,339.0,418.0,7.1923813665020875,357460.0
-116.30193597980355,33.0722661481292,42.0,,1938.0,yOD,448.0,2298.0,99.0,407.0,317.0,2.594851023788347,205090.0
-114.50721483292286,32.6920293086157,27.0,,5108.0,vSP,724.0,2867.0,99.0,624.0,529.0,5.974124946875377,174233.0
-119.40019636496592,34.51778652538639,38.0,,2045.0,YEM,556.0,1190.0,99.0,457.0,528.0,3.47095042102313,245044.0
-122.11760054632438,40.20275155033522,49.0,,1127.0,ksT,199.0,587.0,99.0,180.0,475.0,2.075078308518683,48283.0
-119.63397773432209,36.71960657945802,5.0,,509.0,lvs,131.0,564.0,99.0,143.0,864.0,3.0787578040836356,98911.0
-122.14514493538371,38.935610916522336,54.0,,483.0,eSI,133.0,356.0,99.0,106.0,447.0,1.3092251662752585,83217.0
-123.94074145171301,45.70624886191876,40.0,,1254.0,TYW,261.0,710.0,99.0,246.0,479.0,1.8041652553829413,96216.0
-122.36421715343275,38.78699551190352,52.0,,352.0,yad,70.0,182.0,99.0,82.0,405.0,2.4270249515281557,160693.0
-118.38890865288573,34.15950500638127,33.0,,3280.0,qZp,712.0,2062.0,99.0,669.0,553.0,2.6472398693761843,201439.0
-120.13991731512289,35.46268624686026,28.0,,1356.0,Aok,452.0,1105.0,99.0,286.0,550.0,1.41743074417031,110511.0
-119.14889803339403,36.41788938234344,8.0,,3840.0,Zdh,539.0,1616.0,99.0,474.0,624.0,5.3184507995530685,127864.0
-122.46738415728588,41.51735722081288,9.0,,671.0,MnT,106.0,256.0,99.0,95.0,585.0,4.188225998754408,214236.0
-119.16641879093388,33.94404649466536,24.0,,2560.0,iVE,538.0,1496.0,99.0,565.0,395.0,1.6609142285585223,144713.0
-121.36191240071209,38.237436903536754,21.0,,2952.0,rki,407.0,1213.0,99.0,410.0,529.0,4.573984645729887,256679.0
-121.22357069973634,38.34266577008137,39.0,,720.0,pKc,249.0,259.0,99.0,229.0,262.0,1.2281314594464934,70792.0
-122.54079126852454,39.86291507942033,22.0,,8249.0,snC,1621.0,2819.0,99.0,1383.0,855.0,2.223726381605113,98587.0
-119.18959196686777,34.36679395564945,37.0,,1127.0,iKS,227.0,1105.0,99.0,211.0,526.0,3.9516026830422235,183139.0
-120.21477090994838,36.810686738828004,44.0,,3861.0,wty,555.0,2951.0,99.0,559.0,497.0,3.1049952086910966,192631.0
-124.50446319688069,44.760716749168004,46.0,,1108.0,cFh,61.0,252.0,99.0,90.0,440.0,8.523733595153363,325827.0
-118.436611984439,33.87175368201384,9.0,,3210.0,DnD,765.0,1307.0,99.0,663.0,641.0,3.2950428509367162,287539.0
-120.70909606047047,38.341520128077974,12.0,,7433.0,MyQ,1596.0,2284.0,99.0,1224.0,487.0,4.709573815749453,355712.0
-120.09230186238011,36.30215387935751,10.0,,3830.0,CNU,689.0,1207.0,99.0,548.0,457.0,3.0097550729883618,115302.0
-123.18610972556284,42.613659848659076,10.0,,5025.0,rGX,730.0,2436.0,99.0,712.0,319.0,5.424811884062058,80700.0
-120.77769683352356,36.50826464580293,43.0,,1109.0,aTb,161.0,1071.0,99.0,254.0,723.0,4.970316283073718,216369.0
-116.72524541657495,33.40143056532346,33.0,,1454.0,YWs,320.0,1133.0,99.0,322.0,709.0,2.3052802831304606,134966.0
-120.24435262557567,34.37903760257989,41.0,,2315.0,iMu,577.0,2137.0,99.0,500.0,724.0,1.3190124577139988,105276.0
-120.56280033786439,36.19153515217023,36.0,,2153.0,dfb,499.0,1249.0,99.0,457.0,399.0,3.3024240314148203,114764.0
-122.44204415716084,41.72562448734204,40.0,,1801.0,YDq,358.0,949.0,99.0,320.0,598.0,3.545483947535931,59005.0
-121.76465016558022,37.0923769111941,31.0,,4489.0,thF,891.0,1928.0,99.0,804.0,565.0,3.9998329219004973,200462.0
-119.06361583810009,33.9897337094176,41.0,,1385.0,dMo,266.0,1098.0,99.0,398.0,725.0,7.727546215958687,284211.0
-119.98963234861678,35.471317597827316,17.0,,8715.0,oty,1728.0,5471.0,99.0,1676.0,359.0,2.113860005968709,185146.0
-119.48511690795802,35.620662962128755,32.0,,1891.0,eHw,648.0,1500.0,99.0,736.0,297.0,1.8104839875475776,116670.0
-116.08380503179617,32.80543821336498,38.0,,622.0,Tja,171.0,402.0,99.0,186.0,506.0,2.4216073043523583,180174.0
-120.34167484578523,35.88184362588411,22.0,,1081.0,crW,202.0,968.0,99.0,219.0,419.0,4.375833662293144,208900.0
-118.76595030854911,33.89225769440768,25.0,,3576.0,cIO,643.0,1804.0,99.0,675.0,462.0,6.563100205429239,302852.0
-120.60878437527843,35.71572071476153,50.0,,752.0,FNw,187.0,994.0,99.0,173.0,736.0,4.432677108643221,159530.0
-123.14218148167106,42.534225904533024,9.0,,2681.0,FYX,688.0,2029.0,99.0,693.0,407.0,2.393727005241547,116882.0
-121.53953841803096,37.54688110941349,21.0,,2703.0,DQd,468.0,1167.0,99.0,435.0,500.0,2.6581724006569423,162222.0
-122.98946755386204,39.867150705822034,36.0,,2008.0,UcD,476.0,1255.0,99.0,491.0,425.0,6.080003531899766,370241.0
-122.7569557711392,42.918847908576325,34.0,,3027.0,WkB,554.0,1780.0,99.0,611.0,444.0,1.8913025818551157,88338.0
-122.73027631361238,38.77176053704985,33.0,,4915.0,IYe,740.0,2079.0,99.0,858.0,361.0,4.886743635164711,141043.0
-115.26953985763674,32.734924943614196,21.0,,1381.0,PlI,466.0,1120.0,99.0,319.0,595.0,2.1679097987325098,73292.0
-122.48786426468448,40.61788860615122,17.0,,2154.0,ybq,390.0,1738.0,99.0,404.0,734.0,4.852009828345496,253830.0
-120.57855233659856,37.88692658780065,11.0,,1305.0,SJP,241.0,1043.0,99.0,239.0,381.0,4.442897516278518,188612.0
-120.54364539267517,35.48608385107726,34.0,,3409.0,vDm,934.0,3936.0,99.0,916.0,542.0,2.906837888750369,148711.0
-118.89712884141518,35.064612277165025,20.0,,1449.0,aWi,289.0,848.0,99.0,227.0,507.0,3.91135220382878,208874.0
-122.38110240762428,38.340835677256294,45.0,,3648.0,dCE,560.0,1152.0,99.0,541.0,532.0,2.295120867354551,262938.0
-116.57881484250257,33.16444036144707,3.0,,9823.0,VtS,1651.0,5785.0,99.0,1678.0,506.0,4.388062794482806,177588.0
-120.9032138696998,35.716884691250264,23.0,,3831.0,Lss,803.0,1246.0,99.0,640.0,353.0,5.621003084102999,317569.0
-121.46933311241482,38.81118716568717,10.0,,2116.0,IGc,492.0,1175.0,99.0,406.0,454.0,2.095716438335533,62435.0
-119.39880667989925,34.65528397916697,21.0,,8411.0,htu,1781.0,3841.0,99.0,1491.0,493.0,5.275538661196049,342982.0
-123.08723280322137,39.2033481610314,34.0,,2157.0,FOY,508.0,1989.0,99.0,744.0,480.0,2.9935795692677276,98488.0
-118.79259197128532,34.169925329926606,8.0,,2723.0,WEp,603.0,963.0,99.0,512.0,462.0,2.599481784757244,215068.0
-122.55480436930407,37.97368115747146,42.0,,1612.0,LrC,414.0,1507.0,99.0,458.0,581.0,2.408718991054379,127505.0
-120.21661500307626,34.97696104578656,33.0,,5973.0,Ocv,1027.0,2796.0,99.0,1008.0,406.0,6.4461654343019,264767.0
-121.19015200010872,37.88602356756524,31.0,,3764.0,tmf,730.0,1769.0,99.0,708.0,455.0,4.379747908325262,104817.0
-116.49452274147094,33.16340996653622,12.0,,3986.0,pws,557.0,1623.0,99.0,572.0,491.0,7.345582021874336,341817.0
-120.40324311984898,36.4670085255468,29.0,,3501.0,YTK,598.0,2276.0,99.0,615.0,509.0,7.2456947434356636,253744.0
-122.15991015243662,37.2125140734281,24.0,,2231.0,oZu,523.0,948.0,99.0,510.0,345.0,3.9987666834558833,288909.0
-120.8403819860772,36.309962033054944,11.0,,6206.0,eAW,1103.0,2064.0,99.0,938.0,319.0,7.380705907763515,296537.0
-121.53173270288431,38.63684339451026,13.0,,2010.0,ysM,296.0,959.0,99.0,262.0,460.0,8.505856933853494,383162.0
-121.30452958692032,38.12936891282513,25.0,,2116.0,PSl,383.0,1211.0,99.0,431.0,571.0,3.6237428450255305,138704.0
-119.1903532354846,34.76231836741018,38.0,,4631.0,oNB,652.0,1608.0,99.0,595.0,714.0,4.397251631589577,111197.0
-121.40254343616469,36.16682424733151,23.0,,1338.0,fYB,264.0,827.0,99.0,298.0,555.0,3.86051088192101,275078.0
-120.92875616166191,37.53062134406395,23.0,,3891.0,IHE,731.0,1321.0,99.0,723.0,577.0,2.9932248417281024,74368.0
-117.90303593919717,34.06733590876801,25.0,,1315.0,CVm,315.0,1105.0,99.0,300.0,509.0,1.9422414179569212,93438.0
-118.29120356024063,34.014546521284736,36.0,,2055.0,Frl,470.0,1859.0,99.0,463.0,499.0,2.119210532024572,105468.0
-121.1926122415995,35.91374767489318,34.0,,2007.0,aFS,332.0,713.0,99.0,359.0,618.0,8.073832816266913,421780.0
-117.48983753452188,33.837743351999706,9.0,,2580.0,YpP,469.0,1300.0,99.0,449.0,452.0,4.7378926286140075,229625.0
-116.35276157560722,33.09725289700825,43.0,,1139.0,sZv,260.0,865.0,99.0,236.0,484.0,3.0256652032777724,114193.0
-118.69927868644484,35.103671473363804,27.0,,2576.0,ocd,504.0,1515.0,99.0,350.0,384.0,3.6943939606004483,259343.0
-118.3093411232974,33.97263148946248,28.0,,2807.0,eUU,580.0,1955.0,99.0,468.0,530.0,4.753431387612296,195007.0
-117.07981464159906,33.2756101626482,19.0,,3445.0,Pbo,710.0,3341.0,99.0,729.0,768.0,6.333080389116265,292709.0
-116.38529330689687,33.247486050272876,24.0,,976.0,GOA,317.0,682.0,99.0,244.0,366.0,1.8920484162495215,195539.0
-118.31342552372517,35.03399542934711,30.0,,2608.0,noS,501.0,1208.0,99.0,439.0,616.0,2.467590917878672,70676.0
-117.79205469539285,33.47593202083057,17.0,,3574.0,ziL,949.0,1969.0,99.0,959.0,384.0,3.1175278303570817,161331.0
-120.48727888463,35.768420193336404,49.0,,1088.0,FbJ,278.0,541.0,99.0,185.0,369.0,2.6176468710615772,235693.0
-117.04656819646534,33.64647211648938,16.0,,3700.0,ZIw,532.0,1963.0,99.0,441.0,552.0,6.490893405329652,295494.0
-118.58636891301725,33.87743617466181,46.0,,624.0,toM,181.0,530.0,99.0,128.0,463.0,1.8908283521564653,79553.0
-120.22902396737783,36.264129745815005,36.0,,1574.0,fAo,316.0,526.0,99.0,321.0,324.0,3.324697645172782,265151.0
-121.62042100636117,36.89286469930445,46.0,,1983.0,MTL,324.0,1662.0,99.0,348.0,624.0,4.909211166049884,281713.0
-122.03119950172042,38.073269417533815,34.0,,1169.0,ezn,171.0,427.0,99.0,180.0,605.0,5.281683038943476,286976.0
-118.91878660201884,34.96497802333043,22.0,,662.0,cVc,148.0,298.0,99.0,134.0,424.0,2.6599693479768822,105070.0
-119.41865164980824,34.982742484424215,23.0,,4531.0,OiR,608.0,1640.0,99.0,617.0,502.0,6.0354773089840466,239963.0
-120.47425458634856,37.26810776663844,13.0,,5691.0,oLj,780.0,3278.0,99.0,852.0,431.0,5.473866477134674,162482.0
-118.84889530552377,35.10549910942731,36.0,,3769.0,vju,471.0,1497.0,99.0,359.0,437.0,8.886471022018172,264499.0
-120.27676649587006,34.89600386289511,40.0,,1437.0,key,290.0,1079.0,99.0,237.0,199.0,6.283499313167344,424173.0
-118.21542339119758,34.70549370789773,13.0,,2230.0,uks,411.0,913.0,99.0,356.0,552.0,3.367523946747099,95920.0
-119.15274852199217,34.27128805687529,36.0,,1305.0,Ltm,230.0,456.0,99.0,240.0,311.0,5.492722726469422,280816.0
-122.4357828611489,38.94978520982421,39.0,,1579.0,Lcd,348.0,657.0,99.0,317.0,516.0,2.429827911622332,172013.0
-121.23568355636331,37.62157943468085,52.0,,1288.0,kVP,248.0,1326.0,99.0,236.0,385.0,3.721349700901506,236901.0
-119.00486635237779,34.334311514050356,33.0,,6771.0,SUI,794.0,3105.0,99.0,704.0,424.0,6.329581596292448,242649.0
-117.98825195657855,33.7443240135347,33.0,,2112.0,SKa,387.0,695.0,99.0,421.0,623.0,4.679383513797731,355749.0
-119.5831498825847,36.71129368211611,53.0,,105.0,nsh,53.0,145.0,99.0,36.0,575.0,2.7866547715152614,138884.0
-116.17901846016264,32.85689954482231,27.0,,1903.0,rGi,320.0,808.0,99.0,311.0,537.0,3.969620663917882,251761.0
-116.17966244773287,33.080679199572586,34.0,,2184.0,jNh,379.0,1548.0,99.0,294.0,361.0,5.027743937678894,256340.0
-118.79105285776498,34.046239025075984,32.0,,3401.0,OdS,554.0,1406.0,99.0,445.0,879.0,5.179320062011962,412854.0
-121.86660184258577,36.68144944212966,8.0,,4070.0,qkL,552.0,1485.0,99.0,587.0,394.0,9.666510977834966,470050.0
-124.2776673230987,41.9999244242459,42.0,,1174.0,ZXB,379.0,1293.0,99.0,379.0,456.0,2.2259629895181314,165234.0
-120.97283529169214,38.732052600929826,33.0,,1288.0,AdC,229.0,980.0,99.0,237.0,584.0,2.1249672354559412,103616.0
-120.0386020324692,34.8739655341189,32.0,,1750.0,azE,307.0,828.0,99.0,245.0,412.0,4.2727359767859605,433282.0
-121.23619930429341,38.269168992033414,25.0,,5029.0,lAo,1010.0,2495.0,99.0,977.0,261.0,5.16169500931096,198896.0
-118.31507558634539,33.60169630367579,43.0,,2916.0,ObM,365.0,1027.0,99.0,374.0,566.0,4.054515824954907,183868.0
-123.42875853332623,41.76219033442045,9.0,,5091.0,UGd,924.0,2886.0,99.0,1121.0,737.0,3.117113945636726,158867.0
-120.00853911924926,35.66844736278014,26.0,,2655.0,gOg,561.0,1484.0,99.0,495.0,459.0,3.5141972700877093,150176.0
-119.92282592338218,35.361379152522886,20.0,,3038.0,ooe,480.0,1945.0,99.0,489.0,697.0,4.934001329064498,190934.0
-119.50290360713171,35.1557401593231,20.0,,949.0,Tnh,142.0,618.0,99.0,174.0,452.0,10.126329338926569,420573.0
-122.54813357777093,39.94627842580612,40.0,,1072.0,ZSr,343.0,629.0,99.0,253.0,582.0,2.1769861850113865,120805.0
-119.13100925326589,34.65329403250936,18.0,,1243.0,aiZ,324.0,1018.0,99.0,302.0,428.0,3.5171585771125504,89062.0
-117.79124065438712,33.74424971044728,33.0,,2886.0,iGU,611.0,2250.0,99.0,591.0,506.0,1.7614030199105914,165345.0
-119.26305333617398,33.833404704593136,25.0,,894.0,gMR,189.0,713.0,99.0,224.0,551.0,5.936836593489023,421169.0
-121.00599731288384,37.199365234264164,24.0,,2799.0,Hzr,431.0,996.0,99.0,384.0,767.0,4.845563619260377,151697.0
-119.7540565023843,36.541340185272816,6.0,,3927.0,Cgz,663.0,3128.0,99.0,663.0,567.0,2.8488349887819098,100167.0
-122.10450164238465,39.63961995047976,8.0,,1353.0,DsQ,310.0,870.0,99.0,313.0,575.0,2.026624083438122,77783.0
-120.38227411781205,37.03956916170441,39.0,,2372.0,IFA,440.0,1181.0,99.0,382.0,522.0,3.7347250493569963,117987.0
-118.05332224142887,33.84587044218505,43.0,,790.0,vLS,220.0,527.0,99.0,216.0,429.0,1.8232899010219836,97616.0
-119.88683239409477,35.444177326360894,34.0,,514.0,jgS,143.0,367.0,99.0,148.0,639.0,2.1037822537595954,89979.0
-120.04342550967051,35.82595778897566,18.0,,842.0,VPu,168.0,430.0,99.0,121.0,532.0,3.7203240077439284,88541.0
-119.54487094819297,35.611715522382546,7.0,,1528.0,xvv,377.0,756.0,99.0,330.0,520.0,2.9741302238205676,70493.0
-120.3194833404947,36.7639334537766,29.0,,2317.0,ASa,544.0,1781.0,99.0,527.0,458.0,1.7973199574491132,102565.0
-123.2153816381076,40.052920891563765,16.0,,3971.0,zgw,1000.0,2617.0,99.0,925.0,485.0,2.5662518109901784,212247.0
-118.36842767091602,33.33662406080308,31.0,,6702.0,BLW,1275.0,4778.0,99.0,1178.0,257.0,6.411676180529803,292830.0
-117.623327978726,33.52498102933927,27.0,,2133.0,lAb,402.0,1553.0,99.0,440.0,585.0,3.8829359464580784,158929.0
-119.5520746321602,34.98021654523129,14.0,,2120.0,Uuc,268.0,787.0,99.0,224.0,507.0,10.566268076565565,464003.0
-122.53389566212941,41.084141166232754,7.0,,3052.0,SRj,391.0,598.0,99.0,294.0,490.0,6.972312193309268,313783.0
-121.5297516727499,36.928149031864336,22.0,,6413.0,bZo,982.0,2077.0,99.0,873.0,514.0,4.641805479158415,217255.0
-121.55814752567593,37.91022297575995,26.0,,167.0,qGa,82.0,309.0,99.0,102.0,532.0,1.7605630229106057,179793.0
-118.22469421119052,34.104198003680004,18.0,,3317.0,LNY,679.0,1519.0,99.0,712.0,502.0,5.028423746190534,339233.0
-116.19254945356872,32.85006746107964,23.0,,2838.0,xBo,680.0,2611.0,99.0,530.0,629.0,2.3431297665878383,128152.0
-118.29301631869832,33.571066263452146,43.0,,1413.0,iyv,400.0,1506.0,99.0,402.0,737.0,2.5804027398634712,136178.0
-118.02007849644748,33.81785579759693,46.0,,337.0,ZGv,86.0,371.0,99.0,77.0,420.0,2.1970027449159923,162378.0
-120.97492766669667,36.19531084423368,21.0,,4015.0,WuB,687.0,1487.0,99.0,703.0,527.0,3.6017919159742147,230800.0
-116.15575045142943,32.84530347758256,37.0,,1484.0,HHa,282.0,961.0,99.0,310.0,266.0,4.248405610254766,361759.0
-122.4766868480068,37.83547514905808,48.0,,1296.0,Mje,348.0,1005.0,99.0,282.0,518.0,2.304776275462161,149186.0
-117.39993617835772,33.35062389688395,25.0,,1006.0,AaG,295.0,1116.0,99.0,370.0,553.0,2.3450739985102107,190465.0
-122.83062358677326,39.826464348873785,29.0,,2219.0,hQp,548.0,1298.0,99.0,534.0,601.0,4.147512440025827,160808.0
-122.15650631441201,41.39679267143124,33.0,,1417.0,pAx,430.0,1230.0,99.0,395.0,342.0,1.0983425222052716,55656.0
-120.16311562141792,34.84146520559777,41.0,,3583.0,LsP,782.0,2536.0,99.0,708.0,534.0,3.656396438595054,158881.0
-118.80787225310917,34.871230771442576,34.0,,4751.0,KyG,989.0,2224.0,99.0,903.0,522.0,4.389694313647893,229488.0
-118.63876031022758,33.50735604380106,35.0,,1818.0,FUt,562.0,2687.0,99.0,511.0,440.0,2.0621550500624957,150533.0
-122.53154097222458,39.46417726686822,29.0,,3829.0,msu,566.0,1600.0,99.0,471.0,579.0,5.921639646200024,192167.0
-119.60573427075693,34.60287384264962,30.0,,1755.0,Epy,518.0,1084.0,99.0,522.0,447.0,3.745049581902371,228644.0
-119.64310855127641,34.57312090812117,37.0,,981.0,lRd,346.0,1520.0,99.0,378.0,534.0,1.6304651896460676,72741.0
-120.44806891284965,36.262356538678084,48.0,,1832.0,yyP,368.0,783.0,99.0,385.0,469.0,3.517214585857903,217819.0
-119.64300861113378,36.51128759265395,15.0,,3558.0,kvv,508.0,1578.0,99.0,394.0,441.0,4.427119824565732,224628.0
-120.3900343059029,36.37387016327283,18.0,,3014.0,haO,528.0,1225.0,99.0,565.0,666.0,2.9984003234230494,101188.0
-121.57603528405045,37.79649613185327,27.0,,2821.0,YFW,558.0,1940.0,99.0,622.0,484.0,2.4308048788731207,72830.0
-120.90008236329463,38.278483748690974,10.0,,3193.0,YZW,717.0,3795.0,99.0,667.0,408.0,1.493295003331342,80498.0
-117.11651094005852,33.677012806596046,40.0,,1368.0,mpA,285.0,728.0,99.0,236.0,483.0,3.387700504334943,91582.0
-119.96614684767323,36.13577106822613,26.0,,443.0,MIo,96.0,307.0,99.0,112.0,276.0,2.802128809108168,102717.0
-118.17135130310741,35.71299857909893,8.0,,2429.0,Vui,588.0,1567.0,99.0,503.0,415.0,2.019786999705274,44963.0
-120.33350915274202,36.83773331268408,30.0,,4104.0,mSf,900.0,3770.0,99.0,883.0,418.0,3.4037552676481453,220083.0
-116.53348006882953,32.96864581169123,37.0,,2175.0,jiV,446.0,1693.0,99.0,405.0,420.0,4.141295005157143,238695.0
-119.26054724499896,36.16815331927238,7.0,,3990.0,xgf,783.0,2851.0,99.0,730.0,471.0,2.3350825035473637,70816.0
-116.5419184304585,32.982594349421205,35.0,,3577.0,vmf,772.0,2231.0,99.0,735.0,425.0,4.419194446366906,343557.0
-118.93284579837258,34.333364062439216,42.0,,1140.0,LrB,174.0,1082.0,99.0,162.0,408.0,3.466735122722498,136818.0
-119.90287150610719,34.21343860397255,44.0,,1428.0,iAQ,368.0,1146.0,99.0,346.0,583.0,4.958424483394836,406641.0
-118.76379881677678,34.52857149985046,40.0,,857.0,Cvn,210.0,1006.0,99.0,223.0,558.0,2.581220450853133,172978.0
-118.54907564296815,34.09222196049722,32.0,,1441.0,FjT,288.0,949.0,99.0,281.0,698.0,6.189051467088089,147357.0
