in_id_m_id,in_id,m_id
255,4765,366
256,4385,136
257,221,347
258,1841,59
259,3572,486
260,4783,38
261,2722,384
262,5404,282
263,4326,435
264,4053,145
265,1019,17
266,3713,260
267,5152,282
268,5,361
269,1422,154
270,5302,344
271,728,267
272,1023,404
273,398,85
274,4476,84
275,5544,302
276,4012,248
277,4851,486
278,5559,225
279,3399,462
280,2921,231
281,5661,400
282,2144,257
283,2183,484
284,1792,265
285,4305,241
286,1644,236
287,1533,38
288,5476,328
289,4781,100
290,5606,136
291,3946,490
292,4539,486
293,2067,395
294,2681,136
295,2335,494
296,3985,182
297,3741,393
298,3051,13
299,4471,482
300,1452,421
301,3036,59
302,1267,221
303,798,180
304,2933,38
305,2137,277
306,3604,147
307,4244,334
308,2547,413
309,5391,361
310,1805,245
311,3346,299
312,1703,362
313,1249,336
314,4589,466
315,2448,142
316,2778,64
317,4271,56
318,4670,101
319,136,31
320,542,477
321,5117,375
322,4209,405
323,4538,332
324,5399,432
325,4201,426
326,4590,241
327,1264,13
328,1911,271
329,2385,45
330,5657,486
331,4283,281
332,4020,239
333,2269,105
334,1294,442
335,4693,65
336,4951,363
337,3235,494
338,5259,398
339,5519,474
340,3792,81
341,721,277
342,1949,154
343,5604,74
344,4643,358
345,1687,486
346,760,50
347,1127,154
348,5366,347
349,4701,473
350,1029,239
351,2354,374
352,2614,38
353,72,14
354,4844,65
355,2553,234
356,3270,385
357,5406,491
358,5053,250
359,4443,370
360,467,404
361,2849,452
362,1614,152
363,841,83
364,4446,256
365,3093,301
366,1224,340
367,5598,402
368,379,109
369,1851,235
370,2965,93
371,3638,237
372,3405,47
373,1301,102
374,3102,374
375,5446,404
376,3451,468
377,370,326
378,3784,236
379,3574,415
380,396,142
381,2070,182
382,1376,242
383,4112,136
384,2288,50
385,3828,150
386,3420,154
387,4708,402
388,1153,467
389,4557,416
390,215,300
391,1053,54
392,1486,145
393,1895,136
394,360,438
395,4196,106
396,5661,360
397,1056,319
398,5200,159
399,2610,61
400,3396,145
401,3529,233
402,1721,115
403,38,274
404,1228,153
405,670,303
406,3502,480
407,1346,266
408,591,135
409,5235,280
410,2800,404
411,870,92
412,943,432
413,2636,98
414,3201,376
415,3871,128
416,2486,98
417,3256,477
418,4069,33
419,5207,231
420,2908,481
421,5184,145
422,4186,1
423,4667,138
424,609,378
425,1601,189
426,450,179
427,3940,404
428,777,361
429,4241,68
430,1255,307
431,1018,25
432,3810,382
433,2359,362
434,331,158
435,4956,151
436,1464,14
437,4829,281
438,4936,262
439,2923,32
440,20,365
441,2888,113
442,5108,461
443,554,260
444,5085,408
445,1084,461
446,1825,336
447,3600,272
448,4584,316
449,1707,304
450,1355,117
451,2023,137
452,1995,147
453,2696,296
454,5404,487
455,3828,356
456,2110,366
457,3531,195
458,3303,158
459,14,385
460,562,391
461,2126,246
462,1127,474
463,4855,446
464,4029,392
465,2525,404
466,3595,471
467,2510,122
468,5647,134
469,1482,18
470,2565,404
471,537,145
472,3904,33
473,600,399
474,827,260
475,5213,1
476,1276,416
477,2571,326
478,3539,461
479,5606,394
480,4190,486
481,2441,97
482,3994,279
483,1504,380
484,895,48
485,5293,20
486,4161,382
487,2751,262
488,4595,120
489,1614,8
490,415,302
491,4258,404
492,2477,488
493,2690,266
494,3989,31
495,24,294
496,3258,456
497,5675,274
498,3112,64
499,3597,490
500,2523,338
501,1518,213
502,408,494
503,2890,231
504,3797,378
505,5492,303
506,743,338
507,4277,303
508,4,74
509,5286,143
510,4998,251
511,3804,366
512,331,372
513,2546,431
514,1434,466
515,1351,66
516,3446,340
517,4336,18
518,5360,280
519,3654,262
520,3766,304
521,5102,231
522,700,47
523,277,48
524,2337,365
525,2135,14
526,1961,324
527,2284,394
528,3572,364
529,2070,7
530,5569,145
531,1620,302
532,3039,130
533,294,262
534,5532,482
535,2173,225
536,3072,382
537,934,472
538,1817,133
539,431,416
540,3080,223
541,58,296
542,27,461
543,2705,328
544,5068,451
545,3182,422
546,2542,451
547,5507,124
548,4861,469
549,2121,249
550,4974,473
551,4228,136
552,87,125
553,657,154
554,4923,85
555,558,488
556,4618,279
557,1701,133
558,2486,404
559,5280,55
560,4674,207
561,405,304
562,763,153
563,1046,145
564,2788,187
565,310,208
566,2008,404
567,5325,488
568,3991,457
569,2967,40
570,3434,103
571,872,304
572,932,455
573,1069,81
574,3414,257
575,3375,54
576,3656,430
577,3835,365
578,5357,383
579,488,488
580,574,338
581,17,265
582,3902,461
583,1962,206
584,5645,340
585,4392,229
586,2291,151
587,4216,207
588,3020,80
589,5551,117
590,2783,460
591,122,430
592,5365,109
593,1516,488
594,2188,356
595,3743,304
596,4842,231
597,4408,32
598,3352,68
599,5045,105
600,95,83
601,3359,368
602,522,59
603,4690,482
604,4239,34
605,4979,133
606,2144,99
607,3092,18
608,942,127
609,2965,494
610,1580,400
611,859,72
612,2863,293
613,834,316
614,2128,327
615,2816,206
616,5646,103
617,461,93
618,119,344
619,469,130
620,4654,277
621,1463,195
622,5462,218
623,2061,352
624,4040,344
625,1521,236
626,2354,181
627,2102,442
628,875,117
629,1541,125
630,2882,267
631,3854,94
632,571,435
633,2646,35
634,1759,405
635,3675,390
636,5350,146
637,4877,136
638,1580,240
639,5003,393
640,597,270
641,3264,194
642,1205,203
643,4049,366
644,2399,267
645,3593,76
646,1892,197
647,2302,468
648,1206,404
649,2453,179
650,3785,495
651,4435,301
652,1247,32
653,1851,446
654,5501,231
655,1838,192
656,977,293
657,4165,435
658,1229,136
659,2682,430
660,1644,201
661,1015,413
662,4874,366
663,216,366
664,3914,69
665,2023,262
666,3371,210
667,233,469
668,1080,74
669,408,241
670,2503,377
671,5210,356
672,3515,246
673,468,296
674,2964,416
675,2098,480
676,3392,459
677,984,239
678,180,497
679,2876,88
680,4453,260
681,2437,488
682,5118,386
683,5425,130
684,3531,19
685,2332,197
686,3374,128
687,5330,461
688,4789,63
689,3447,145
690,3209,127
691,1580,201
692,2307,391
693,5298,395
694,536,288
695,5511,463
696,4409,327
697,675,264
698,2243,55
699,5193,177
700,2993,225
701,4857,12
702,5217,134
703,2297,193
704,2886,451
705,5545,494
706,3460,366
707,3614,391
708,1414,103
709,2431,146
710,2752,404
711,596,326
712,2351,232
713,4880,98
714,4087,322
715,5323,266
716,824,344
717,1558,340
718,134,494
719,2974,430
720,4895,262
721,2773,438
722,3964,195
723,4242,210
724,1778,255
725,2603,54
726,4433,253
727,440,302
728,2185,457
729,5658,468
730,4389,384
731,2640,255
732,3770,303
733,5613,315
734,1837,191
735,4976,133
736,4564,335
737,3617,500
738,367,421
739,2005,214
740,555,500
741,62,66
742,1534,135
743,3149,83
744,3922,114
745,124,471
746,4095,347
747,1477,397
748,128,160
749,2412,102
750,1762,136
751,4267,100
752,5621,494
753,872,391
754,2512,241
755,816,38
756,1266,146
757,1253,145
758,15,11
759,440,392
760,121,83
761,3061,143
762,1936,313
763,2534,1
764,4672,255
765,320,243
766,5305,243
767,2815,23
768,1139,85
769,5198,494
770,2797,494
771,3999,489
772,5241,101
773,5618,494
774,4030,146
775,4896,391
776,2402,154
777,4332,400
778,605,343
779,3455,231
780,2698,231
781,2877,158
782,568,99
783,5069,352
784,2755,1
785,2049,413
786,2404,482
787,3718,231
788,3569,121
789,3906,28
790,1549,250
791,3008,31
792,2498,364
793,386,98
794,155,376
795,3734,145
796,1317,477
797,1847,301
798,347,66
799,5025,275
800,2458,153
801,4777,117
802,4072,1
803,1663,391
804,2293,338
805,3828,118
806,3571,32
807,3441,206
808,2627,393
809,3452,311
810,1448,432
811,895,145
812,5058,119
813,3558,2
814,1392,433
815,1770,269
816,1162,32
817,4400,404
818,713,215
819,446,65
820,3375,41
821,5326,68
822,1749,97
823,2428,210
824,426,216
825,31,286
826,1025,420
827,5476,202
828,4598,446
829,4241,235
830,1606,146
831,3906,20
832,2553,358
833,4946,90
834,2977,131
835,1191,250
836,926,488
837,268,179
838,5502,403
839,2282,392
840,4435,174
841,4483,231
842,239,225
843,2802,404
844,4193,413
845,4624,2
846,4692,147
847,775,461
848,5549,404
849,2958,93
850,3215,356
851,3333,31
852,4314,7
853,874,146
854,5650,267
855,2706,179
856,4698,154
857,5086,382
858,5393,265
859,1953,488
860,84,26
861,4318,400
862,1768,227
863,2341,446
864,2663,404
865,2932,274
866,2305,499
867,4629,376
868,4172,162
869,4204,136
870,1251,23
871,4480,459
872,4111,137
873,4388,281
874,2140,495
875,3491,464
876,403,33
877,4437,376
878,5668,225
879,4272,385
880,185,277
881,4492,239
882,767,145
883,4133,260
884,70,97
885,3179,341
886,2886,47
887,550,104
888,1943,496
889,1729,391
890,4959,319
891,5147,462
892,4873,304
893,839,118
894,5190,494
895,408,265
896,3843,360
897,2041,205
898,429,81
899,2614,275
900,5612,432
901,1523,207
902,1948,293
903,3005,100
904,1268,31
905,2651,260
906,3704,409
907,2411,230
908,3604,451
909,299,100
910,3970,494
911,3988,38
912,5057,93
913,5456,2
914,958,286
915,4175,326
916,4599,210
917,2112,97
918,4642,365
919,1855,361
920,1968,488
921,5320,248
922,2726,68
923,5388,230
924,353,11
925,5550,1
926,3395,316
927,1397,154
928,2564,128
929,2092,124
930,5198,56
931,159,117
932,2707,257
933,3488,167
934,932,248
935,1718,277
936,2661,85
937,3738,404
938,1184,394
939,187,25
940,1942,372
941,596,79
942,731,381
943,2945,98
944,5190,218
945,2740,326
946,4164,301
947,3766,35
948,1213,284
949,156,121
950,2705,412
951,1007,74
952,2789,301
953,2708,70
954,4476,404
955,4220,325
956,2351,482
957,2068,154
958,1651,488
959,190,148
960,3968,130
961,1366,67
962,3736,72
963,1367,97
964,2839,463
965,517,117
966,1225,176
967,4006,340
968,2998,162
969,2551,136
970,1370,399
971,1055,382
972,3553,279
973,4412,334
974,1387,491
975,229,260
976,358,246
977,469,394
978,1159,404
979,3140,327
980,716,66
981,4133,58
982,1374,461
983,1788,17
984,5306,81
985,4598,451
986,5320,352
987,843,146
988,3597,413
989,1882,443
990,2222,83
991,1201,288
992,2491,152
993,3255,28
994,2519,383
995,1808,41
996,187,221
997,1423,69
998,4835,11
999,324,255
1000,180,150
1001,820,378
1002,2346,97
1003,5345,291
1004,2254,274
1005,188,104
1006,5394,453
1007,3006,46
1008,4664,17
1009,4954,158
1010,5016,388
1011,1371,500
1012,3817,246
1013,5538,340
1014,279,72
1015,3833,187
1016,1277,46
1017,4507,296
1018,2358,219
1019,3484,269
1020,2685,363
1021,3516,385
1022,1107,350
1023,3387,150
1024,802,293
1025,4711,257
1026,3286,459
1027,1416,486
1028,3259,147
1029,907,422
1030,2528,372
1031,2658,484
1032,343,358
1033,4925,109
1034,38,45
1035,2259,148
1036,2144,439
1037,860,486
1038,5077,219
1039,60,249
1040,3872,250
1041,1958,28
1042,5662,500
1043,4273,93
1044,862,162
1045,653,494
1046,2928,482
1047,4510,489
1048,5591,488
1049,3662,304
1050,4956,262
1051,4191,41
1052,1674,152
1053,1010,302
1054,2751,216
1055,1125,318
1056,1545,494
1057,4227,457
1058,394,319
1059,96,384
1060,2158,319
1061,1254,285
1062,5156,429
1063,5337,262
1064,1642,149
1065,5343,250
1066,2727,48
1067,2313,392
1068,911,192
1069,1504,277
1070,5135,486
1071,3810,146
1072,2358,385
1073,2340,154
1074,3391,56
1075,2719,201
1076,2516,7
1077,64,406
1078,1044,192
1079,227,62
1080,201,227
1081,2574,10
1082,3210,38
1083,1431,304
1084,1990,332
1085,3263,471
1086,3934,468
1087,148,145
1088,4050,336
1089,3319,338
1090,2891,145
1091,2520,214
1092,1477,453
1093,5577,98
1094,5651,400
1095,4896,500
1096,3029,302
1097,2426,250
1098,769,378
1099,5068,420
1100,4663,199
1101,1363,124
1102,5425,432
1103,5300,359
1104,3196,303
1105,103,32
1106,4889,107
1107,4191,159
1108,1097,486
1109,4074,35
1110,3044,145
1111,336,283
1112,2642,113
1113,426,413
1114,1925,98
1115,3298,105
1116,2703,10
1117,1118,494
1118,2379,486
1119,4630,135
1120,4027,153
1121,2259,125
1122,5384,28
1123,2915,84
1124,767,239
1125,1019,216
1126,5164,277
1127,1422,273
1128,5366,455
1129,1004,366
1130,742,159
1131,2029,231
1132,1787,404
1133,591,136
1134,3798,187
1135,2271,195
1136,1639,31
1137,1815,486
1138,3891,68
1139,2667,95
1140,2651,306
1141,3463,300
1142,2767,270
1143,3647,364
1144,4165,208
1145,1361,38
1146,2068,154
1147,4684,486
1148,4500,283
1149,4751,382
1150,1915,101
1151,70,133
1152,853,334
1153,2140,187
1154,4708,430
1155,953,108
1156,2420,465
1157,4637,237
1158,3091,446
1159,3612,420
1160,321,482
1161,3947,153
1162,1639,298
1163,937,385
1164,3825,170
1165,5329,412
1166,1419,391
1167,5663,146
1168,4528,404
1169,1743,465
1170,279,125
1171,3324,352
1172,2610,490
1173,2798,461
1174,209,388
1175,3304,357
1176,2254,133
1177,4424,194
1178,5277,53
1179,3508,341
1180,5213,404
1181,4939,494
1182,1228,468
1183,1713,161
1184,2693,391
1185,3529,362
1186,1743,381
1187,5399,250
1188,1032,15
1189,5658,294
1190,2723,495
1191,4065,25
1192,1573,312
1193,3495,109
1194,5203,494
1195,2982,90
1196,4079,500
1197,1387,37
1198,4861,393
1199,2736,152
1200,5620,256
1201,2431,265
1202,1378,149
1203,356,94
1204,4683,461
1205,5251,59
1206,3806,302
1207,5225,340
1208,1263,189
1209,775,382
1210,2068,146
1211,667,301
1212,2896,239
1213,1940,336
1214,5395,149
1215,1357,92
1216,4027,154
1217,696,50
1218,1524,313
1219,5135,36
1220,2264,404
1221,1857,494
1222,5569,6
1223,3122,404
1224,2048,461
1225,1184,50
1226,2923,35
1227,1384,58
1228,4431,127
1229,4154,97
1230,1745,91
1231,2829,383
1232,3520,193
1233,2826,137
1234,2208,488
1235,517,207
1236,3374,241
1237,3634,374
1238,2750,52
1239,2214,251
1240,3452,151
1241,5190,272
1242,3304,495
1243,1023,113
1244,374,153
1245,5284,160
1246,2950,391
1247,650,162
1248,1779,77
1249,5510,337
1250,4655,348
1251,1494,329
1252,2475,171
1253,2986,96
1254,3525,11
1255,3720,97
1256,5333,486
1257,4704,191
1258,5140,394
1259,4679,313
1260,1232,404
1261,1530,242
1262,1572,486
1263,1195,436
1264,5500,188
1265,5203,497
1266,1104,488
1267,343,347
1268,5301,302
1269,3669,382
1270,5349,77
1271,2106,333
1272,3283,461
1273,5105,145
1274,5001,460
1275,566,154
1276,501,404
1277,4877,377
1278,1500,15
1279,433,251
1280,1640,1
1281,2502,99
1282,2475,446
1283,5534,244
1284,3047,269
1285,150,97
1286,573,300
1287,2364,215
1288,2256,406
1289,4554,60
1290,5458,303
1291,5563,448
1292,4363,70
1293,2621,332
1294,3792,69
1295,850,56
1296,3287,136
1297,1250,105
1298,4224,173
1299,4255,66
1300,3433,444
1301,1924,368
1302,351,404
1303,4375,318
1304,5155,14
1305,1387,189
1306,4892,77
1307,4908,114
1308,4458,306
1309,3364,236
1310,4257,8
1311,120,146
1312,3018,275
1313,4406,103
1314,1350,255
1315,3182,2
1316,1115,150
1317,5477,477
1318,5239,491
1319,858,455
1320,1954,416
1321,2452,474
1322,5047,188
1323,948,33
1324,4561,102
1325,989,318
1326,599,220
1327,2210,38
1328,2099,380
1329,5004,486
1330,5537,121
1331,3898,477
1332,5121,243
1333,2023,431
1334,2841,182
1335,4015,366
1336,2049,225
1337,1640,189
1338,2521,405
1339,1569,125
1340,764,117
1341,1836,38
1342,3831,381
1343,1066,103
1344,5458,489
1345,1304,146
1346,1760,30
1347,4825,255
1348,3221,230
1349,5363,434
1350,4846,338
1351,4949,49
1352,5616,242
1353,4906,241
1354,5388,472
1355,5116,206
1356,2637,218
1357,2551,392
1358,5032,328
1359,1751,301
1360,4416,302
1361,5397,97
1362,3472,448
1363,668,488
1364,3859,88
1365,1140,159
1366,3865,454
1367,4985,137
1368,1846,7
1369,1367,481
1370,5003,404
1371,5053,318
1372,3113,145
1373,5656,262
1374,4842,390
1375,631,61
1376,1312,321
1377,3565,85
1378,5391,455
1379,3714,385
1380,2018,93
1381,4406,154
1382,1152,189
1383,359,193
1384,3782,457
1385,3956,86
1386,796,496
1387,1138,229
1388,438,38
1389,4084,296
1390,5371,210
1391,487,451
1392,3375,214
1393,2077,413
1394,1861,304
1395,4775,145
1396,3107,404
1397,3875,404
1398,4020,241
1399,4507,150
1400,5625,145
1401,2473,434
1402,1317,151
1403,4863,97
1404,3178,482
1405,3181,382
1406,2317,279
1407,2018,91
1408,5232,404
1409,1016,404
1410,2740,190
1411,2245,47
1412,323,275
1413,3580,221
1414,2905,85
1415,2799,384
1416,2250,97
1417,10,394
1418,1274,309
1419,5308,84
1420,73,167
1421,3946,141
1422,2047,435
1423,1248,86
1424,4097,385
1425,2581,383
1426,1297,58
1427,3277,133
1428,3587,473
1429,1868,153
1430,4720,277
1431,3286,231
1432,1281,123
1433,3460,176
1434,5197,286
1435,1564,80
1436,5140,465
1437,1017,50
1438,5001,301
1439,4277,91
1440,1375,382
1441,2355,369
1442,3779,93
1443,3475,117
1444,2292,382
1445,5186,345
1446,4053,8
1447,5669,495
1448,134,246
1449,270,54
1450,2574,153
1451,2007,454
1452,151,58
1453,2643,290
1454,5198,154
1455,4887,436
1456,5596,422
1457,2448,134
1458,478,397
1459,4544,404
1460,22,60
1461,3772,413
1462,2133,154
1463,4421,193
1464,1603,404
1465,3587,381
1466,4262,246
1467,2848,43
1468,3251,290
1469,360,356
1470,95,465
1471,259,372
1472,2796,87
1473,2543,473
1474,5331,68
1475,3259,347
1476,171,25
1477,4003,165
1478,3408,122
1479,1629,133
1480,326,49
1481,3396,146
1482,129,372
1483,2963,481
1484,218,446
1485,3501,145
1486,631,28
1487,1816,260
1488,4785,120
1489,82,198
1490,1895,385
1491,4543,209
1492,2253,218
1493,3933,97
1494,3758,258
1495,2087,144
1496,1091,135
1497,5434,108
1498,4940,4
1499,3936,430
1500,3863,223
1501,2388,71
1502,798,460
1503,1702,365
1504,1212,58
1505,4918,306
1506,1120,157
1507,332,455
1508,5618,75
1509,259,413
1510,5607,111
1511,1483,136
1512,3268,494
1513,3305,304
1514,524,352
1515,2424,296
1516,917,363
1517,129,283
1518,5676,348
1519,3243,16
1520,325,7
1521,992,176
1522,1752,69
1523,4762,1
1524,3939,155
1525,2148,279
1526,5432,97
1527,5219,468
1528,728,138
1529,3916,494
1530,3715,406
1531,1175,274
1532,3629,158
1533,1081,24
1534,5174,486
1535,2079,358
1536,916,50
1537,2413,327
1538,4855,416
1539,2007,461
1540,3908,362
1541,1694,256
1542,3985,29
1543,3835,90
1544,2775,294
1545,931,432
1546,3822,242
1547,3992,122
1548,3042,135
1549,4534,474
1550,1596,148
1551,4583,117
1552,197,54
1553,1929,368
1554,5599,133
1555,619,78
1556,2584,381
1557,3236,91
1558,3945,266
1559,909,258
1560,2007,153
1561,2586,181
1562,3492,265
1563,2027,105
1564,4545,71
1565,2494,382
1566,3951,137
1567,4338,277
1568,745,413
1569,1144,145
1570,1738,293
1571,5526,153
1572,3070,147
1573,4691,364
1574,4223,146
1575,2783,49
1576,1018,10
1577,3212,488
1578,3105,243
1579,1373,11
1580,2371,37
1581,4490,65
1582,2428,486
1583,144,491
1584,3697,404
1585,420,364
1586,1279,332
1587,1446,136
1588,4093,494
1589,2985,74
1590,45,401
1591,2504,187
1592,3551,117
1593,1963,228
1594,1643,303
1595,3997,210
1596,2026,324
1597,3363,396
1598,238,154
1599,604,449
1600,5658,296
1601,3672,31
1602,171,77
1603,4043,91
1604,3849,38
1605,485,160
1606,4062,267
1607,2254,359
1608,1954,391
1609,4574,121
1610,350,486
1611,1557,358
1612,1431,404
1613,5603,484
1614,3845,468
1615,5056,283
1616,2959,105
1617,5370,488
1618,5032,249
1619,2785,303
1620,996,417
1621,3103,100
1622,4454,145
1623,14,446
1624,1646,12
1625,4936,78
1626,1446,256
1627,2161,258
1628,4127,367
1629,1425,11
1630,4216,336
1631,1441,332
1632,651,382
1633,3234,382
1634,2886,135
1635,4968,102
1636,284,217
1637,3470,11
1638,2092,494
1639,3125,494
1640,2644,396
1641,5179,494
1642,3587,252
1643,1089,136
1644,4394,97
1645,5139,256
1646,5560,270
1647,164,385
1648,4678,416
1649,4737,374
1650,3729,97
1651,576,105
1652,915,404
1653,2165,250
1654,734,92
1655,5176,444
1656,3085,35
1657,932,35
1658,2107,128
1659,2946,424
1660,1152,374
1661,1278,147
1662,5253,50
1663,2286,1
1664,548,385
1665,895,55
1666,1188,182
1667,345,145
1668,2121,50
1669,3405,399
1670,854,207
1671,2785,20
1672,4024,320
1673,1947,187
1674,2326,382
1675,3322,147
1676,1859,212
1677,3215,325
1678,2627,422
1679,3333,400
1680,2746,198
1681,5545,373
1682,1891,392
1683,2723,66
1684,5244,197
1685,2317,221
1686,1249,95
1687,3237,357
1688,4078,494
1689,4878,386
1690,2854,302
1691,2781,231
1692,5528,66
1693,2902,451
1694,410,277
1695,3310,189
1696,127,90
1697,4554,311
1698,4479,500
1699,3923,446
1700,3795,468
1701,1975,406
1702,3754,462
1703,516,490
1704,97,125
1705,4423,36
1706,725,470
1707,4380,239
1708,123,404
1709,411,227
1710,5069,378
1711,2571,113
1712,1046,408
1713,2553,97
1714,1534,16
1715,4750,381
1716,2355,119
1717,888,55
1718,4297,221
1719,4599,102
1720,1417,448
1721,4521,336
1722,2167,283
1723,3535,241
1724,5327,486
1725,786,269
1726,5117,212
1727,704,352
1728,767,461
1729,4198,435
1730,2385,85
1731,3266,117
1732,2034,250
1733,4624,74
1734,529,77
1735,2202,72
1736,1095,136
1737,3367,274
1738,3164,101
1739,366,335
1740,3322,296
1741,5290,251
1742,334,146
1743,1929,337
1744,1000,391
1745,5644,384
1746,3607,92
1747,2715,187
1748,139,293
1749,464,488
1750,3071,133
1751,1080,385
1752,3095,52
1753,3930,434
1754,529,413
1755,2309,181
1756,864,8
1757,3114,253
1758,472,19
1759,3949,130
1760,1414,117
1761,382,266
1762,632,326
1763,642,495
1764,3634,384
1765,1693,489
1766,4661,99
1767,3048,117
1768,4746,318
1769,4755,420
1770,698,379
1771,3368,385
1772,5308,28
1773,4181,97
1774,4070,151
1775,4312,415
1776,788,486
1777,1707,137
1778,680,303
1779,1943,500
1780,1247,374
1781,2017,324
1782,2495,411
1783,3858,33
1784,2161,154
1785,3281,488
1786,1964,72
1787,4011,288
1788,3523,44
1789,5145,97
1790,3785,7
1791,3768,163
1792,215,442
1793,3662,62
1794,3983,500
1795,4379,243
1796,2329,103
1797,5356,92
1798,1605,7
1799,3017,102
1800,3283,409
1801,3597,189
1802,2238,10
1803,2460,255
1804,1592,46
1805,2527,182
1806,3804,124
1807,193,494
1808,3478,303
1809,3659,471
1810,1785,442
1811,5009,172
1812,4867,207
1813,4693,235
1814,1826,348
1815,4735,258
1816,428,31
1817,5331,117
1818,839,382
1819,910,429
1820,4219,432
1821,2639,359
1822,3151,154
1823,4379,98
1824,1474,195
1825,1085,490
1826,4469,311
1827,2148,486
1828,4138,301
1829,2321,404
1830,2663,97
1831,2424,152
1832,5063,221
1833,5637,106
1834,2774,311
1835,3274,288
1836,786,34
1837,843,80
1838,2248,74
1839,3889,335
1840,5691,302
1841,3050,404
1842,5378,198
1843,30,131
1844,3890,430
1845,4719,330
1846,3771,363
1847,5226,154
1848,1461,104
1849,5092,104
1850,2042,153
1851,4484,488
1852,1328,424
1853,513,128
1854,2840,470
1855,3585,323
1856,5360,366
1857,4150,332
1858,1826,365
1859,5296,98
1860,4273,189
1861,4282,190
1862,5386,356
1863,3072,225
1864,3368,210
1865,1176,491
1866,2173,385
1867,2786,136
1868,3372,432
1869,3430,25
1870,4910,462
1871,4632,13
1872,5511,154
1873,5417,328
1874,396,438
1875,1789,16
1876,3773,246
1877,4064,79
1878,3371,193
1879,1616,413
1880,2604,74
1881,4334,481
1882,4558,364
1883,4879,84
1884,3632,45
1885,2659,477
1886,678,482
1887,5531,383
1888,3844,462
1889,2948,388
1890,5524,230
1891,5008,380
1892,1605,493
1893,2167,293
1894,3462,122
1895,1719,350
1896,861,392
1897,5146,96
1898,3108,380
1899,2023,98
1900,4140,158
1901,5181,32
1902,2765,112
1903,5283,214
1904,4668,68
1905,2185,45
1906,1373,119
1907,644,47
1908,5094,130
1909,3385,373
1910,1080,173
1911,2852,461
