variable name,variable description,data type,values,filename
acer,ACE-R total score,numeric,0.0 to 100.0,additional_export
C1,PSQI C1 subjective sleep quality,category,"[0.0, 1.0, 2.0, 3.0]",additional_export
C2,PSQI C2 sleep latency,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",additional_export
C3,PSQI C3 sleep duration,category,"[0.0, 1.0, 2.0, 3.0]",additional_export
C4,PSQI C4 sleep efficiency,category,"[0.0, 1.0, 2.0, 3.0]",additional_export
C5,PSQI C5 sleep disturbance,category,"[0.0, 1.0, 2.0, 3.0]",additional_export
C6,PSQI C6 sleep medication,category,"[0.0, 1.0, 2.0, 3.0]",additional_export
C7,PSQI C7 daytime dysfunction,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",additional_export
hours_slept,PSQI hours asleep,numeric,0.0 to 12.0,additional_export
hours_in_bed,PSQI hours spent in bed,numeric,3.5 to 15.0,additional_export
sleep_efficiency,PSQI sleep efficiency,numeric,0.0 to 100.0,additional_export
psqi,Pittsburgh sleep quality index score,numeric,0.0 to 23.0,additional_export
SC_r,Respondent social class,category,"[-, I, II, IIIM, IIIN, IV, V, nan]",additional_export
SEG_r,Respondent social economic group,category,"[-, 1.1, 1.2, 10, 11, 12, 14, 15, 17, 2.1, 2.2, 3, 4, 5.1, 5.2, 6, 7, 8, 9, nan]",additional_export
SC_pt,Partner of respondent - social class,category,"[I, II, IIIM, IIIN, IV, V, nan]",additional_export
SEG_pt,Partner of respondent - social economic group,numeric,1.1 to 13.0,additional_export
CCID,Participant ID,string,CC110019 to CC821090,epaq_export
WKDAYSLEEP,Average daily sleep time (hours) during the week,numeric,3.5 to 13.5,epaq_export
WKENDDAYSLEEP,Average daily sleep time (hours) during the weekend,numeric,4.0 to 22.0,epaq_export
GETABOUT_bikedist,Distance (miles/wk) cycled apart from traveling to work,numeric,0.0 to 48.75,epaq_export
GETABOUT_walkdist,Distance (miles/wk) walked apart from traveling to work,numeric,0.0 to 38.25,epaq_export
DURGETABOUT_BIKE,Reported duration (hrs/day) cycled apart from traveling to work,numeric,0.0 to 0.69643,epaq_export
DURGETABOUT_WALK,Reported duration (hrs/day) walked apart from traveling to work,numeric,0.0 to 1.8214,epaq_export
GETABOUTBIKEadj,,numeric,0.0 to 0.69643,epaq_export
GETABOUTWALKadj,,numeric,0.0 to 1.8214,epaq_export
DURGETABOUT,Duration (hrs/day) cycled and walked apart from traveling to work,numeric,0.0 to 1.8214,epaq_export
DURTV,Reported total TV viewing time (hrs/day),numeric,0.0 to 7.0,epaq_export
TVadj,"Total TV viewing time (hrs/day), scaled for total overreporting",numeric,0.0 to 7.0,epaq_export
WALKMILES,Distance (miles/day) walked to and from work,numeric,0.0 to 8.5714,epaq_export
CYCLEMILES,Distance (miles/day) cycled to and from work,numeric,0.0 to 17.1429,epaq_export
CARMILES,Distance (miles/day) traveled to and from work by car,numeric,0.0 to 183.3333,epaq_export
PUBLICMILES,Distance (miles/day) traveled to and from work by public transport,numeric,0.0 to 198.0,epaq_export
CARadj,"Duration (hrs/day) of commuting by car, adjusted for total overreporting",numeric,0.0 to 4.0741,epaq_export
PUBLICadj,"Duration (hrs/day) of commuting by public transport, adj for total overreporting",numeric,0.0 to 6.6,epaq_export
CYCLEadj,"Duration (hrs/day) of commuting by bike, adjusted for total overreporting",numeric,0.0 to 1.7143,epaq_export
WALKadj,"Duration (hrs/day) of commuting on foot, adjusted for total overreporting",numeric,0.0 to 2.8571,epaq_export
HOMEtime,"Total duration of home domain activities (hrs/day), adj for total overreporting",numeric,0.0 to 16.3139,epaq_export
WORKtime,"Total duration of work domain activities (hrs/day), adj for total overreporting",numeric,0.0 to 14.281,epaq_export
DURJOB,Reported total work hours (hrs/day) averaged over a year,numeric,0.0 to 22.0,epaq_export
COMMUTEtime,"Total duration of commuting (hrs/day), adj for total overreporting",numeric,0.0 to 7.2667,epaq_export
LEIStime,"Total duration of leisure time activities (hrs/day), adj for total overreporting",numeric,0.0 to 8.8333,epaq_export
UNACCOUNTED_TIME,Total time not accounted for by the PAQ (hrs/day),numeric,0.0 to 17.7655,epaq_export
TOTMETHRS,Total reported duration (hours) of activity times intensity (MET) [METhrs/d],numeric,7.5857 to 70.1675,epaq_export
TOTMETHRS_w_UNACCtime,Total reported plus unaccounted duration hours) times intensity (MET) [METhrs/d],numeric,22.9375 to 71.5797,epaq_export
TOTALtime,Total reported duration (hours) [hrs/d],numeric,6.2345 to 24.0,epaq_export
ACTMETS,Total activity energy expenditure discounting resting [net METhrs/d],numeric,0.0 to 48.2226,epaq_export
SED_INTENSITY,Sedentary behavior energy expenditure [METhrs/d],numeric,0.0 to 15.8571,epaq_export
LIGHT_INTENSITY,Light behavior energy expenditure [METhrs/d],numeric,0.0 to 37.5933,epaq_export
MODERATE_INTENSITY,Moderate intensity energy expenditure [METhrs/d],numeric,0.0 to 37.5472,epaq_export
VIGOROUS_INTENSITY,Vigorous intensity energy expenditure [METhrs/d],numeric,0.0 to 39.2338,epaq_export
SLEEPtime,Difference (hours) between reported bed and getting up time,numeric,4.0 to 13.5,epaq_export
SEDtime,"Time spent sedentary, excluding sleep [hrs/d]",numeric,0.0 to 10.8571,epaq_export
LIGHTtime,Time spent at light intensity activity [hrs/d],numeric,0.0 to 16.0038,epaq_export
MODERATEtime,Time spent at moderate intensity activity [hrs/d],numeric,0.0 to 9.281,epaq_export
VIGOROUStime,Time spent at vigorous intensity activity [hrs/d],numeric,0.0 to 5.2312,epaq_export
HOME_METS,Home domain energy expenditure [METhrs/d],numeric,0.0 to 35.8711,epaq_export
WORK_METS,Work domain energy expenditure [METhrs/d],numeric,0.0 to 44.8779,epaq_export
LEIS_METS,Leisure domain energy expenditure [METhrs/d],numeric,0.0 to 37.0833,epaq_export
COMMUTE_METS,Commute domain energy expenditure [METhrs/d],numeric,0.0 to 10.7414,epaq_export
leisure_missing_all_data,number of leisure activities missing all data (max. 35),category,"[0.0, 1.0, 35.0]",epaq_export
leisure_missing_freq,number of leisure activities missing frequency data (max. 35),numeric,0.0 to 35.0,epaq_export
leisure_missing_duration,number of leisure activities missing duration data (max. 35),category,"[0.0, 2.0]",epaq_export
activities_done,number of activities done,numeric,0.0 to 35.0,epaq_export
PAEE,Total PAEE calculated from self-report ACTMETS (kJ/day/kg),numeric,0.0 to 206.0793,epaq_export
HOME_PAEE,Home domain PAEE calculated from self-report ACTMETS (kJ/day/kg),numeric,0.0 to 87.5863,epaq_export
WORK_PAEE,Work domain PAEE calculated from self-report ACTMETS (kJ/day/kg),numeric,0.0 to 159.4293,epaq_export
LEIS_PAEE,Leisure domain PAEE calculated from self-report ACTMETS (kJ/day/kg),numeric,0.0 to 120.7264,epaq_export
COMMUTE_PAEE,Commuting PAEE calculated from self-report ACTMETS (kJ/day/kg),numeric,0.0 to 37.9873,epaq_export
CCID,Participant ID,string,CC110019 to CC821090,homeint_export
version,Version of i/v program,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 5.1]",homeint_export
wave,wave of i/v,category,[CamCAN_3000],homeint_export
interviewerid,Interviewer ID,numeric,,homeint_export
sex,Gender,category,"[F, M]",homeint_export
start_time,Interview start time,time,,homeint_export
finish_time,Interview end time,time,,homeint_export
duration,Length of i/v (min),numeric,-656.0 to 1096.0,homeint_export
priority,Into priority mode?,category,"[No, Yes]",homeint_export
student_iv,Student interview,category,"[No, Yes]",homeint_export
has_elig,HAS_elig,category,"[FALSE, TRUE]",homeint_export
elig_700,Eligible for 700 phase?,category,"[FALSE, TRUE, nan]",homeint_export
elig_280,Eligible for 280 phase?,category,"[FALSE, TRUE, nan]",homeint_export
mmse_i,MMSE score calculated during i/v,numeric,11.0 to 30.0,homeint_export
handedness,Handedness score,numeric,-100.0 to 999.0,homeint_export
quitquestion,question that i/v into priority,numeric,0.0 to 615.0,homeint_export
xBreak,,numeric,75.0 to 707.0,homeint_export
break_s,,numeric,[],homeint_export
sevens,Number of correct 7s,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 999.0]",homeint_export
v1,CONFIRM SEX,category,"[1.0, 2.0]",homeint_export
v4,Address correct?,category,"[1.0, 2.0, 3.0]",homeint_export
v5,Marital status?,category,"[1.0, 2.0, 3.0, 4.0, 5.0]",homeint_export
v6,Type of accommodation?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]",homeint_export
v8,TYPE OF CARE HOME,category,"[1.0, 2.0, 3.0, 7.0, 8.0]",homeint_export
v9,RATE TYPE OF ACCOMMODATION WITHIN HOME,category,[2.0],homeint_export
v10,Who funds accomdation?,category,"[1.0, 2.0, 3.0, 7.0, 8.0]",homeint_export
v11,,numeric,0.0 to 1992.0,homeint_export
v12,Accommodation owned or rented?,numeric,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]",homeint_export
v13,How many people in household?,numeric,0.0 to 77.0,homeint_export
v14,Relationship to household members?,string,,homeint_export
v15,Average total household income?,category,"[777, 9999, A, B, C, D, E, F]",homeint_export
v16,Where were you born?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",homeint_export
v17,Specify other place of birth,string,"[9999, Albania, Algeria, America, Argentina, Armenia, Australia, Austria, Bangladesh, Belgium, Bosnia, Botswana, Brazil, Brunei, Brussels, Bulgaria, Burma, Cameroon, Canada, Canary Islands, Ceylon, Chile, China, Colombia, Corfu, Crete, Cyprus, Czech Republic, Czechoslovakia, Denmark, Dubai, Egypt, Estonia, Fiji, Finland, France, Germany, Ghana, Gibraltar, Greece, Guatemala, Guyana, Holland, Hong Kong, Hungary, India, Indonesia, Iran, Ireland, Isle of Man, Israel, Italy, Ivory Coast, Jamaica, Jersey, Kenya, Kuala Lumpur, Latvia, Lithuania, Madeira, Malawi, Malaysia, Malta, Mauritius, Mexico, Moldova, Mongolia, Morocco, Nairobi, Netherlands, New Zealand, Nigeria, Norway, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Russia, Seychelles, Singapore, Slovakia, Slovenia, South Africa, South America, South Korea, Soviet Union, Spain, Sri Lanka, Sweden, Switzerland, Taiwan, Tanzania, Tasmania, Tehran, Thailand, Trinidad, Tunisia, Turkey, USA, Uganda, Ukraine, Vanuatu, Venezuela, Zimbabwe, Zurich]",homeint_export
v18,Year first come to live in UK?,numeric,4.0 to 19972.0,homeint_export
v19,What was your first language?,category,"[1.0, 2.0, 3.0, 4.0, 6.0, 7.0]",homeint_export
v20,Specify other first language,string,"[9999, Afrikans, Akwapim twi, Albanian, Arabic, Armenian, Assamese, Bamileke, Bangla, Bengali, Bosnian, Both French and Italian, Bulgarian, Canadian English, Cantonese, Catalan, Chinese, Creole, Czech, Danish, Denish, Dutch, Estonian, Farsi, Fijian, Filipine, Filipino, Finnish, French, French/Dutch, Gaelic, German, German, check, Greek, Gujarati, Hausa, Hebrew, Hindi, Hungarian, Ibo, Indonesian, Italian, Kannada, Korean, Kurdish, Latvian, Lithuanian, Malayalam, Maltese/English, Marathi, Meru, Mongolian, Moroccan Arabic, Norwegian, Persian, Pharsee, Polish, Portuguese, Punjabi, Punjabua, Romanian, Russian, Serbian/German bilingual, Serbo - Croat, Shona, Sinhala, Sinhalese, Slovak, Slovakian, Slovenian, Spanish, Swedish, Swiss German, Swiss German dialect, Tamil, Tel, Telugu, Thai, Turkish, Ukrainian, Urdu, Welsh, Yiddish, cz, erse/english]",homeint_export
v21,Have you been bilingual from birth?,category,"[1.0, 2.0, 7.0]",homeint_export
v22,What was your second language?,category,"[1.0, 2.0, 3.0, 4.0, 6.0, 7.0]",homeint_export
v23,Specify other second language,string,"[9999, Afrikaans, Armenia and Greek, Assamese, Basque, Bengali, Both French and Italian, Considers English as first language, Czech, Russian, English, Danish, Dutch, English, English, Hindi, French, French (English later), French Canadian, Ga; and Asante twi, Gaelic, Galician, German, Greek, Gujarati, Hindi, Hindi, Punjabi, Hindustani mixture ( of URdu and Hindi, Irish, Italian, Itsekiri, Latvian, Mexican sign language, Nguemba (Cameroun), Punjabi, Romanian, Russian, Russian/german, Slovak, Spanish, Swahili, Swahli, Tamal (from nursemai, Tamil, Turkish, Urdu, Valencian (Catalan), Visayan, Welsh, Yiddish, czech, norwegian, French, other lan in Uganda, telegu]",homeint_export
v24,Ethnic group?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]",homeint_export
v25,Ethnic background - white?,category,"[1.0, 2.0, 3.0]",homeint_export
v26,Ethnic background - mixed?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v27,Ethnic background - asian or asian british?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v28,Ethnic background - black or black british?,category,"[1.0, 2.0]",homeint_export
v29,Ever had paid work?,category,"[1.0, 2.0]",homeint_export
v30,Current situation - not had paid work?,category,"[3.0, 4.0, 6.0, 7.0, 8.0, 306.0, 507.0]",homeint_export
v31,Current situation - had paid work?,string,,homeint_export
v32,Live in Cambridge during term time only?,category,"[1.0, 2.0]",homeint_export
v33,OK to complete student IV?,category,[1.0],homeint_export
v34,Age retired?,numeric,14.0 to 777.0,homeint_export
v35,Do/did you work as an employee or are/were you self-employed?,category,"[1.0, 2.0, 3.0, 8.0, 888.0]",homeint_export
v36,Number of employees?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 888.0]",homeint_export
v39,Do/did you supervise any other employees?,category,"[1.0, 2.0, 888.0]",homeint_export
v41,,numeric,0.0 to 888.0,homeint_export
v42,,numeric,0.0 to 888.0,homeint_export
v43,Job involve shift work?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 888.0]",homeint_export
v44,Job involve night shift work?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v45,SEX OF PARTNER?,category,"[1.0, 2.0, 9.0]",homeint_export
v46,Partner's current situation?,numeric,1.0 to 1030604.0,homeint_export
v47,Have they ever had paid work?,category,"[1.0, 2.0]",homeint_export
v48,Age partner retired?,numeric,0.0 to 7777.0,homeint_export
v49,Do/did your partner work as an employee or are/were they self employed?,category,"[1.0, 2.0, 3.0]",homeint_export
v50,Number of employees?,category,"[1.0, 2.0, 3.0, 4.0, 7777.0]",homeint_export
v53,Do/did they supervise any other employees?,category,"[1.0, 2.0]",homeint_export
v55,Final situation of partner?,numeric,1.0 to 20607.0,homeint_export
v56,Were they ever in paid employment?,category,"[1.0, 2.0]",homeint_export
v57,Age partner retired?,numeric,0.0 to 777.0,homeint_export
v58,Did your partner work as an employee or were they self employed?,category,"[1.0, 2.0, 3.0]",homeint_export
v59,Number of employees?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v62,Did they supervise any other employees?,category,"[1.0, 2.0]",homeint_export
v64,Partner's situation when last lived together?,numeric,1.0 to 405.0,homeint_export
v65,Did they ever have paid employment?,category,"[1.0, 2.0, 8.0, 777.0]",homeint_export
v66,Age partner retired?,numeric,50.0 to 8888.0,homeint_export
v67,Did your partner work as an employee or were they self employed?,category,"[1.0, 2.0, 3.0]",homeint_export
v68,Number of employees?,category,"[1.0, 2.0, 3.0, 4.0]",homeint_export
v71,Did they supervise any other employees?,category,"[1.0, 2.0]",homeint_export
v73,Which qualifications do you have?,string,1 to 8,homeint_export
v74,,numeric,0.0 to 2005.0,homeint_export
v75,Completed lifetime experience questionnaire?,category,"[1.0, 2.0, 3.0, 4.0, 5.0]",homeint_export
v76,Practice undertaken - simple?,category,"[1.0, 2.0]",homeint_export
v77,Reason for non-completion?,category,"[1.0, 3.0, 4.0]",homeint_export
v78,Real test undertaken - simple?,category,"[1.0, 2.0]",homeint_export
v79,Reason for non-completion?,category,"[1.0, 2.0, 3.0]",homeint_export
v80,Simple reaction time file saved?,category,"[1.0, 2.0]",homeint_export
v81,Practice undertaken - choice?,category,"[1.0, 2.0]",homeint_export
v82,Reason for non-completion?,category,[2.0],homeint_export
v83,Real test undertaken - choice?,category,"[1.0, 2.0]",homeint_export
v84,Reason for non-completion?,category,"[1.0, 3.0]",homeint_export
v85,Choice reaction time file saved?,category,"[1.0, 2.0]",homeint_export
v86,Have children?,category,"[1.0, 2.0]",homeint_export
v87,Number of living children,category,0.0 to 22.0,homeint_export
v88,Number of dead children,category,"[0.0, 1.0, 2.0, 3.0, 99.0, 999.0]",homeint_export
v89,Any close relatives in area?,category,"[1.0, 2.0, 3.0]",homeint_export
v90,How often see relatives to speak to?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0]",homeint_export
v91,How often speak to relatives over phone?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0]",homeint_export
v92,How often text/email relatives?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0]",homeint_export
v93,How often to friends/family visit you?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 77.0]",homeint_export
v94,How often speak to friends over phone?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0]",homeint_export
v95,How often text/email friends?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0]",homeint_export
v96,,string,,homeint_export
v97,Have friends in community?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v98,How often see neighbours?,numeric,0.0 to 9.0,homeint_export
v99,Is there someone frail or unwell that requires your help?,category,"[1.0, 2.0]",homeint_export
v100,Help required because?,category,"[1.0, 2.0, 3.0]",homeint_export
v101,What is the day?,category,"[0.0, 1.0, 7.0, 9.0]",homeint_export
v102,What is the date today?,category,"[0.0, 1.0, 7.0, 9.0]",homeint_export
v103,What is the month?,category,"[0.0, 1.0, 7.0, 9.0]",homeint_export
v104,What is the year?,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v105,What is the season?,category,"[0.0, 1.0, 7.0, 9.0]",homeint_export
v106,What is your full address - if in own home?,category,"[0.0, 1.0, 9.0]",homeint_export
v107,What is the name of this place? Location? - if in institution,category,"[0.0, 1.0, 7.0, 9.0]",homeint_export
v108,What is the city/town/village?,category,"[0.0, 1.0, 9.0]",homeint_export
v109,What is the county?,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v110,What is the country?,category,"[0.0, 1.0, 8.0, 9.0]",homeint_export
v111,What floor of the building are we on?,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v112,Number of S words,numeric,0.0 to 45.0,homeint_export
v113,NUMBER OF REPEATS,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 11.0]",homeint_export
v114,Repeat Apple,category,"[0.0, 1.0, 9.0]",homeint_export
v115,Repeat Table,category,"[0.0, 1.0, 9.0]",homeint_export
v116,Repeat Penny,category,"[0.0, 1.0, 9.0]",homeint_export
v117,Serial 7 answers,string,,homeint_export
v118,Spell WORLD,string,,homeint_export
v119,Spell WORLD backwards,string,,homeint_export
v120,Recall Apple,category,"[0.0, 1.0, 7.0, 9.0]",homeint_export
v121,Recall Table,category,"[0.0, 1.0, 7.0, 9.0]",homeint_export
v122,Recall Penny,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v123,Envelope recognition,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v124,Repeat Harry,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v125,Repeat Barnes,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v126,Repeat 73,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v127,Repeat Orchard,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v128,Repeat Close,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v129,Repeat Kingsbridge,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v130,Repeat Devon,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v131,Number of P words,numeric,0.0 to 99.0,homeint_export
v132,Number of animals,numeric,1.0 to 99.0,homeint_export
v133,SHOW 'CLOSE YOUR EYES',category,"[0.0, 1.0, 8.0, 9.0]",homeint_export
v134,Look at ceiling,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v135,Tap shoulders,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v136,Touch right ear,category,"[1.0, 2.0, 9.0]",homeint_export
v137,Nod your head,category,"[2.0, 9.0]",homeint_export
v138,COMPLETE SENTENCE WRITTEN,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v139,TAKE PAPER IN RIGHT HAND,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v140,FOLDS,category,"[0.0, 1.0, 8.0, 9.0]",homeint_export
v141,LAP,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v142,Put paper in envelope,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v143,Recall envelope instructions,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",homeint_export
v144,Repeat Hippopotamus,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v145,Repeat Eccentricity,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v146,Repeat Unintelligible,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v147,Repeat Statistician,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v148,"Repeat Above, beyond and below",category,"[1.0, 2.0, 9.0]",homeint_export
v149,"Repeat No ifs, ands or buts",category,"[0.0, 1.0, 8.0, 9.0]",homeint_export
v150,Name Pencil,category,"[0.0, 1.0, 8.0, 9.0]",homeint_export
v151,Name Watch,category,"[0.0, 1.0, 9.0]",homeint_export
v152,Name Kangaroo,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v153,Name Penguin,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v154,Name Anchor,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v155,Name Camel,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v156,Name Harp,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v157,Name Rhinoceros,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v158,Name Barrel,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v159,Name Crown,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v160,Name Crocodile/Alligator,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v161,Name Accordian,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v162,Point Monarchy,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v163,Point Marsupial,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v164,Point Antarctic,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v165,Point Nautical,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v166,Read Sew,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v167,Read Pint,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v168,Read Soot,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v169,Read Dough,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v170,Read Height,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v171,COPY OVERLAPPING PENTAGONS,category,"[0.0, 1.0, 7.0, 8.0, 9.0]",homeint_export
v172,COPY WIRE CUBE,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v173,DRAW CLOCK FACE,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v174,ALL NUMBERS,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v175,SET HANDS TO 11:10,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v176,Recall Camel,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v177,Recall Watch,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v178,Recall Barrel,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v179,Recall Harp,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v180,Recall Crown,category,"[1.0, 2.0, 9.0]",homeint_export
v181,COUNT DOTS A,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v182,COUNT DOTS B,category,"[1.0, 2.0, 9.0]",homeint_export
v183,COUNT DOTS C,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v184,COUNT DOTS D,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v185,IDENTIFY K,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v186,IDENTIFY M,category,"[1.0, 2.0, 9.0]",homeint_export
v187,IDENTIFY A,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v188,IDENTIFY T,category,"[1.0, 2.0, 8.0, 9.0]",homeint_export
v189,Recall Harry,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v190,Recall Barnes,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v191,Recall 73,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v192,Recall Orchard,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v193,Recall Close,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v194,Recall Kingsbridge,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v195,Recall Devon,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v196,Name recognition,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
